[2016-10-02 11:32:37.170] -- [DEBUG] -- [main >>>> LogFactory.java:135 >>>> Method = setImplementation] -- [Content = Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.]
[2016-10-02 11:32:37.652] -- [DEBUG] -- [main >>>> SqlSessionFactoryBean.java:458 >>>> Method = buildSqlSessionFactory] -- [Content = Parsed configuration file: 'class path resource [mybatis/mybatis-config.xml]']
[2016-10-02 11:32:37.691] -- [DEBUG] -- [main >>>> SqlSessionFactoryBean.java:490 >>>> Method = buildSqlSessionFactory] -- [Content = Parsed mapper file: 'file [E:\创新实践\MalariaProject\Basic-Single-Module-SSM\target\classes\module\user\mapper\DynamicOutbreakMapper.xml]']
[2016-10-02 11:32:37.996] -- [DEBUG] -- [main >>>> SqlSessionFactoryBean.java:490 >>>> Method = buildSqlSessionFactory] -- [Content = Parsed mapper file: 'file [E:\创新实践\MalariaProject\Basic-Single-Module-SSM\target\classes\module\user\mapper\PatientCasesInformationMapper.xml]']
[2016-10-02 11:32:38.109] -- [DEBUG] -- [main >>>> SqlSessionFactoryBean.java:490 >>>> Method = buildSqlSessionFactory] -- [Content = Parsed mapper file: 'file [E:\创新实践\MalariaProject\Basic-Single-Module-SSM\target\classes\module\user\mapper\PatientInformationMapper.xml]']
[2016-10-02 11:32:38.164] -- [DEBUG] -- [main >>>> SqlSessionFactoryBean.java:490 >>>> Method = buildSqlSessionFactory] -- [Content = Parsed mapper file: 'file [E:\创新实践\MalariaProject\Basic-Single-Module-SSM\target\classes\module\user\mapper\SysUserMapper.xml]']
[2016-10-02 11:32:38.573] -- [DEBUG] -- [main >>>> SqlSessionUtils.java:99 >>>> Method = getSqlSession] -- [Content = Creating a new SqlSession]
[2016-10-02 11:32:38.592] -- [DEBUG] -- [main >>>> SqlSessionUtils.java:150 >>>> Method = registerSessionHolder] -- [Content = SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@6e6d5d29] was not registered for synchronization because synchronization is not active]
[2016-10-02 11:32:38.683] -- [DEBUG] -- [main >>>> SpringManagedTransaction.java:87 >>>> Method = openConnection] -- [Content = JDBC Connection [com.alibaba.druid.proxy.jdbc.ConnectionProxyImpl@3b2c0e88] will not be managed by Spring]
[2016-10-02 11:32:38.690] -- [DEBUG] -- [main >>>> BaseJdbcLogger.java:145 >>>> Method = debug] -- [Content = ==>  Preparing: SELECT pi.address address,COUNT(pi.address) addressCount FROM patient_cases_information pc,patient_information pi WHERE pc.cardID=pi.cardID AND pc.`year`=pi.`year` AND YEAR(pc.illDate)=? AND MONTH(pc.illDate)=? AND pi.address LIKE '%' GROUP BY pi.address; ]
[2016-10-02 11:32:38.746] -- [DEBUG] -- [main >>>> BaseJdbcLogger.java:145 >>>> Method = debug] -- [Content = ==> Parameters: 2005(Integer), 1(Integer)]
[2016-10-02 11:32:41.183] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==    Columns: address, addressCount]
[2016-10-02 11:32:41.184] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 上海市市辖区南汇区周浦东南事村142号402室, 1]
[2016-10-02 11:32:41.186] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 上海市市辖区南汇区惠南, 1]
[2016-10-02 11:32:41.186] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 上海市市辖区南汇区黄路友爱, 1]
[2016-10-02 11:32:41.187] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省临沧市不详县, 2]
[2016-10-02 11:32:41.188] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省临沧市临翔区凤翔镇, 1]
[2016-10-02 11:32:41.188] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省临沧市云县爱华镇, 2]
[2016-10-02 11:32:41.189] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省临沧市云县茂兰乡, 1]
[2016-10-02 11:32:41.189] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省临沧市云县茶房乡, 1]
[2016-10-02 11:32:41.191] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省临沧市凤庆县凤山镇罗丹, 1]
[2016-10-02 11:32:41.192] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省临沧市凤庆县洛党镇后丰村砍子头社暂住孟连县娜允镇新水厂(南雅河), 1]
[2016-10-02 11:32:41.193] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省临沧市凤庆县洛党镇水菜林村, 1]
[2016-10-02 11:32:41.193] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省临沧市凤庆县腰街乡开明村中村组, 1]
[2016-10-02 11:32:41.194] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省临沧市沧源县勐懂镇, 1]
[2016-10-02 11:32:41.195] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省临沧市沧源县勐懂镇永和中学, 1]
